rank,name,score,pageviews,currentTier,id,family,lived,wikipediaUrl,imageUrl
80,Psittacosaurus,581775,11775,medium,851,,,,https://images.dinosaurpictures.org/Psittacosaurus/Psittacosaurus_67a734a2.jpg
81,Masiakasaurus,580000,0,medium,638,,,,https://images.dinosaurpictures.org/Masiakasaurus/Masiakasaurus_161d73a0.jpg
82,Leaellynasaura,565000,0,medium,615,,,,https://images.dinosaurpictures.org/Leaellynasaura/Leaellynasaura_e49df31d.jpg
83,Muttaburrasaurus,560000,0,medium,698,,,,https://images.dinosaurpictures.org/Muttaburrasaurus/Muttaburrasaurus_0d25c629.jpg
84,Australovenator,555000,0,medium,174,,,,https://images.dinosaurpictures.org/Australovenator/Australovenator_907ee00e.jpg
85,Qianzhousaurus,550000,0,medium,941,,,,https://images.dinosaurpictures.org/Qianzhousaurus/Qianzhousaurus_5a115fba.jpg
86,Sinoceratops,545000,0,medium,914,,,,https://images.dinosaurpictures.org/Sinoceratops/Sinoceratops_b9f93852.jpg
87,Kosmoceratops,540000,0,medium,589,,,,https://images.dinosaurpictures.org/Kosmoceratops/Kosmoceratops_b7d1d4bc.jpg
88,Diabloceratops,535000,0,medium,254,,,,https://images.dinosaurpictures.org/Diabloceratops/Diabloceratops_8a355ff9.jpg
89,Nasutoceratops,530000,0,medium,744,,,,https://images.dinosaurpictures.org/Nasutoceratops/Nasutoceratops_f4028474.jpg
90,Regaliceratops,525000,0,medium,885,,,,https://images.dinosaurpictures.org/Regaliceratops/Regaliceratops_65600668.jpg
91,Achelousaurus,90257,90257,medium,1,,,,https://images.dinosaurpictures.org/Achelousaurus/Achelousaurus_4220c2ae.jpg
92,Borealopelta,20083,20083,medium,202,,,,https://images.dinosaurpictures.org/Borealopelta/Borealopelta_830403d6.jpg
93,Nanotyrannus,14953,14953,medium,818,,,,https://images.dinosaurpictures.org/Nanotyrannus/Nanotyrannus_e704e2a2.jpg
94,Deinocheirus,13260,13260,medium,279,,,,https://images.dinosaurpictures.org/Deinocheirus/Deinocheirus_8a41b64c.jpg
95,Sinosauropteryx,10698,10698,medium,953,,,,https://images.dinosaurpictures.org/Sinosauropteryx/Sinosauropteryx_8244dbfc.jpg
96,Sauroposeidon,10115,10115,medium,922,,,,https://images.dinosaurpictures.org/Sauroposeidon/Sauroposeidon_019a4f5d.jpg
97,Maip,9911,9911,medium,696,,,,https://images.dinosaurpictures.org/Maip/Maip_93a4c9b0.jpg
98,Saurophaganax,8681,8681,medium,929,,,,https://images.dinosaurpictures.org/Saurophaganax/Saurophaganax_b649a149.jpg
99,Tyrannotitan,8647,8647,medium,1025,,,,https://images.dinosaurpictures.org/Tyrannotitan/Tyrannotitan_b3e3417c.jpg
100,Shri,7991,7991,medium,991,,,,https://images.dinosaurpictures.org/Shri/Shri_085a8531.jpg
101,Megaraptor,7834,7834,medium,700,,,,https://images.dinosaurpictures.org/Megaraptor/Megaraptor_c1e3e76b.jpg
